date,portfolio_value,agent,ticker,fold_id,seed
2018-04-03,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-04,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-05,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-06,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-09,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-10,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-11,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-12,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-13,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-16,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-17,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-18,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-19,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-20,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-23,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-24,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-25,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-26,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-27,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-04-30,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-01,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-02,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-03,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-04,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-07,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-08,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-09,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-10,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-11,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-14,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-15,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-16,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-17,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-18,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-21,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-22,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-23,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-24,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-25,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-29,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-30,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-05-31,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-01,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-04,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-05,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-06,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-07,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-08,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-11,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-12,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-13,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-14,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-15,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-18,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-19,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-20,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-21,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-22,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-25,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-26,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-27,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-28,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-06-29,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-02,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-03,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-05,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-06,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-09,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-10,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-11,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-12,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-13,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-16,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-17,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-18,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-19,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-20,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-23,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-24,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-25,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-26,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-27,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-30,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-07-31,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-01,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-02,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-03,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-06,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-07,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-08,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-09,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-10,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-13,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-14,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-15,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-16,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-17,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-20,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-21,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-22,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-23,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-24,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-27,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-28,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-29,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-30,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-08-31,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-04,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-05,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-06,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-07,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-10,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-11,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-12,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-13,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-14,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-17,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-18,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-19,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-20,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-21,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-24,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-25,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-26,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-27,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-09-28,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-01,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-02,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-03,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-04,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-05,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-08,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-09,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-10,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-11,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-12,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-15,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-16,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-17,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-18,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-19,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-22,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-23,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-24,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-25,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-26,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-29,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-30,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-10-31,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-01,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-02,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-05,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-06,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-07,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-08,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-09,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-12,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-13,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-14,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-15,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-16,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-19,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-20,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-21,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-23,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-26,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-27,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-28,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-29,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-11-30,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-03,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-04,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-06,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-07,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-10,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-11,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-12,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-13,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-14,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-17,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-18,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-19,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-20,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-21,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-24,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-26,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-27,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-28,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2018-12-31,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-02,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-03,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-04,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-07,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-08,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-09,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-10,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-11,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-14,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-15,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-16,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-17,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-18,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-22,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-23,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-24,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-25,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-28,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-29,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-30,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-01-31,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-01,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-04,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-05,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-06,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-07,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-08,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-11,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-12,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-13,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-14,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-15,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-19,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-20,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-21,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-22,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-25,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-26,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-27,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-02-28,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-01,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-04,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-05,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-06,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-07,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-08,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-11,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-12,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-13,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-14,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-15,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-18,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-19,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-20,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-21,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-22,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-25,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-26,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-27,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-28,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-03-29,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-01,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-02,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-03,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-04,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-05,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-08,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-09,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-10,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-11,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-12,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-15,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-16,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-17,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-18,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-22,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-23,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-24,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-25,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-26,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-29,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-04-30,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-05-01,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-05-02,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-05-03,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-05-06,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-05-07,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-05-08,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-05-09,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-05-10,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-05-13,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-05-14,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-05-15,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-05-16,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-05-17,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-05-20,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-05-21,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
2019-05-22,1001476.9195637682,ppo_standalone,QQQ,wf_2018_2019,89
